Column1,FormNumber,Question,Cluster,Topic_Keywords,Topic_Headline
64,2," When I was connecting on campus, I was typically connected at the",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
83,3, The instructor promoted an atmosphere conductive to work and learning,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
88,3, The instructor was sensitive to student needs,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
89,3, The instructor's ability to explain was excellent,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
119,4," The content of this course supported the School's mission of advancing social, political,and economic justice",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
121,4, The instructor graded rigorously,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
142,5,I feel this class was important and valuable to my education.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
152,5,"The instructor did a satisfactory job to explain expectations for the type of learning environment I was in (studio, lecture course, or seminar).",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
157,5,"The instructor exposed me to diverse research methods (studio, lecture course, or seminar) that allowed me to understand issues from different perspectives.",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
158,5,The instructor fostered a good environment for learning and exploration.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
162,5,The instructor stimulated critical and/or creative thinking.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
164,5,The instructor used critiques effectively to evaluate my work.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
167,5,The instructor was fair and objective in evaluating my work.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
173,5,"The texts, references and other readings used in this course were appropriate and useful.",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
177,5,What suggestions would you make to improve your educational experience in relation to the university community and the College of Architecture?,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
185,6,Sex,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
189,6,The instructor promoted an atmosphere conducive to work and learning.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
194,6,The instructor was sensitive to student needs.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
195,6,The instructor's ability to explain was excellent.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
228,8,I was provided with the proper working equipment and utensils.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
232,8,Number of classes missed,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
233,8,"Please include your comments about the class discussions, readings, papers or projects, examinations or teaching style",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
241,8,"The instructor used instructional support materials (overheads, computer assisted presentation, videos, handouts, internet, board, etc.) to assist in the learning process.",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
244,8,The instructor was interested in student’s progress.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
247,8,The lab is equipped with the necessary tools for me to accomplish the learning objectives.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
248,8,The lab manual and/or handouts helped to provide guidance in completing the assigned task.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
253,8,"The teacher effectively used interactive teaching methods (discussions, games and simulations, per-teaching, field trips, student presentations, etc.)  to involve the class.",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
262,9,"Compared to other courses at the same level, the amount of work I did was:",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
264,9,How often did the instructor come more than ten minutes late?,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
265,9,How often did the instructor either cancel or not show up to teach?,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
292,10,"The content of this course supported the School`s mission of advancing social, political and economic justice. <br>(For <b>DOCTORAL STUDENTS</b>: This course helped me better understand how my future work (career goals) may advance social, political and/o",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
293,10,The instructor graded rigorously.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
309,11,Cohort:,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
316,11,The instructor graded fairly.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
328,11,What did you like best about this content module?,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
335,12,Gender,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
337,12,Instructional effectiveness,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
338,12,Instructor organization,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
344,12,Quality of text books,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
347,12,The instructor remained in the room while I filled out this evaluation.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
357,13,Coordination of assigned readings to lecture material,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
360,13,Gender:,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
368,13,Number of classes missed:,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
379,14,"Additional materials for this class (handouts, readings, web information) were helpful",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
381,14,Exam results usually were returned to students within:,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
385,14,I was evaluated on the basis of (mark all that apply):,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
394,14,The instructor remained in the room while you filled out this evaluation.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
395,14,The instructor was concerned about whether students understood the material.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
399,14,The number of classes I missed was:,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
408,15,Experiments illustrated key concepts.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
409,15,Experiments worked,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
411,15,I read the lab manual <i>before</i> coming to the lab,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
412,15,Laboratory techniques were adequately illustrated.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
415,15,The instructor circulated among the students.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
416,15,"The instructor required that students follow safety procedures (goggles, aprons, etc).",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
419,15,The instructor's presentations clearly defined relevant goals and concepts.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
420,15,The lab manual was appropriate in terms of organization and content.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
434,17,Lab reports were graded in such a way that it was easy for the student to see his/her mistakes.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
437,17,The grading of exams and lab reports was done fairly.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
438,17,"The instructor circulated among the students, calling attention to incorrect practices.",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
439,17,"The instructor required that students follow lab safety procedures, including the appropriate use of goggles, gloves, and lab coats.",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
440,17,The instructor was accessible and provided sufficient aid and/or clarification when needed.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
441,17,"The instructor was knowledgeable about the experiments, including laboratory techniques and the theories behind the experiments.",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
443,17,The instructor's lectures and other verbal presentations were logically developed.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
450,18,Did you feel that the instructional support by the teaching assistants was adequate in this course?,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
458,18,The instructor demonstrated the ability to communicate with students in the classroom.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
459,18,The instructor employed information technology effectively to disseminate and enrich the course material.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
473,18,What is your estimate of the number of classes that were cancelled?,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
474,18,What is your estimate of the number of occurrences of academic dishonesty by the students in the class?,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
477,19,"Did you take one of the field trips? If so, was it worth it and why? If not, why did you choose not to go? Any suggestions to improve the field trips?",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
486,19,I found the visiting the Geoscience Learning Center to be helpful,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
505,19,What did you like most about the instructor?,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
529,21,I found the visiting the Geoscience Learning Center to be helpful.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
548,22,I could understand the instructor.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
549,22,"I learned fundamental principles, and how to apply those principles.",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
555,22,The assigned book was very helpful.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
559,22,The importance of the subject was emphasized. The goals were made clear.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
560,22,The instructor changed approaches to meet new situations.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
567,22,There was relatively little cheating on the examinations.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
583,24,"The instructor cancelled, missed, or rescheduled the following number of classes:",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
584,24,The instructor was effective in communicating information.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
590,24,The reading and preparation required was extensive.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
644,35,The instructor evaluated my performance as published in the syllabus.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
653,35,The total clinical experience was sufficient.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
654,35,There was adequate instructor support to facilitate skill acquisition.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
657,35,Time spent in the Simulated Learning Lab helped me to achieve my learning goals.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
658,43,A professional student-teacher relationship is maintained during the lesson.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
665,43,I covered an adequate breadth of repertoire during the semester.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
666,43,I feel the instructor is preparing me well for my jury.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
667,43,I received helpful instruction on problems and was presented remedies.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
673,43,The instructor diagnoses technical problems and presents methods.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
677,43,The instructor helps me with my ensemble music as well as solo music.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
678,43,"The instructor is knowledgeable about repertoire, style, and performance practice of various periods.",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
680,43,The instructor presents helpful ideas for practice methods.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
682,43,The instructor provides sufficient examples by playing or singing when necessary.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
683,43,The instructor seems to care about my progress.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
684,43,The instructor uses lesson time efficiently.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
686,43,The lesson content is appropriate to my stated professional goals.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
689,43,The repertoire is of high musical quality.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
706,44,Reasonable demands are made on my time for extra rehearsals.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
707,44,Rehearsals are conducted efficiently.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
709,44,The conductor accurately identifies and rehearses problematic places in the music.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
710,44,The conductor encourages critical thinking.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
711,44,The conductor has good knowledge of the repertoire & of performance practice.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
712,44,The conductor makes positive & helpful comments during rehearsal.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
713,44,The conductor shows interest in the reputation of the organization as representing the Moores School of Music.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
714,44,The conductor stresses musical concepts and not only rote learning of the music.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
715,44,The conductor's technique is clear.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
723,44,The musical quality of the repertoire covered is generally high.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
726,44,The quality of his/her musicianship is high.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
731,44,We covered a sufficiently large & representative repertoire in keeping with ability & experience of the members of the ensemble.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
746,46,Required readings/textbook were valuable.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
747,46,Work assigned was a useful tool for learning the material covered.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
765,52,The instructor stimulated my mental curiosity.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
768,52,The instructor was enthusiastic in encouraging students to focus on the subject material.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
777,64,I am overall satisfied with the workshop.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
778,64,"I feel as though I will receive a grade of a ""B"" or higher in the lecture associated with this workshop.",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
781,64,Please use the space below for any comments about the workshop and/or the facilitator. We rely on your feedback to ensure that the workshops are a success!,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
782,64,The content of the workshop directly relates to the lecture.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
783,64,The facilitator is always on time.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
786,64,The facilitator never intimidates or embarrasses students.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
788,64,The facilitator retaught the concepts effectively.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
791,64,The workshop allows time for group/partner interaction.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
792,64,The workshop is effective/worth attending.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
793,64,The workshop is well structured.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
841,108,The instructor demonstrated a commitment to student learning.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
843,108,The instructor effectively engaged students in the learning process.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
896,207,"Based on what I have seen in this class, I believe the use of multiple instructors created an effective learning environment.",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
915,222,I found visiting the Physics Learning Center to be helpful.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
917,222,I read all the emails sent by the instructor and the class syllabus carefully.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
918,222,I read the Laboratory Manual and watched the videos before  the class at all times.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
919,222,Laboratory Reports were graded in such a way that it was easy for the student to see their mistakes.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
921,222,"Over the semester, the number of times per week I visited the Physics Learning Center was:",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
927,222,The TA circulated among students calling attention to incorrect practices.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
928,222,The TA demonstrated respect to students.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
929,222,"The TA was knowledgeable about the experiments, including laboratory techniques and the theories behind the experiments.",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
931,222,The TA's presentations clearly defined relevant goals and concepts.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
932,222,The TAs at Physics Learning Center were able to help me with all my questions.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
973,521,The instructor stimulated my mental curiosity,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
976,521,The instructor was enthusiastic in encouraging students to focus on the subject material,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
1013,523,The instructor was enthusiastic in encouraging students to focus on the study abroad experience's subject material,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
1019,523,The study abroad experience stimulated my mental curiosity,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
1061,703, The amount and quality of clinical skills instruction were appropriate for the level of training.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
1150,709,[<b>Discipline</b>] Specific content was integrated into other areas of the Longitudinal Integrated Clerkship.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
1162,709,The amount and quality of supervision was appropriate in this clerkship,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
1169,709,The sessions within the academic half-day helped facilitate my clinical education.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
1214,712,Content was integrated across disciplines in Longitudinal Integrated Clerkship.,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
1616,992,How could the instructor improve the discussion section?,1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
1621,992,"The discussion class required at least 3,000 words (or 12 pages) of formal writing.",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
1629,992,"The instructor provided helpful and adequate written feedback on assignments, including written comments on grammar, style, and content.",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
1630,992,"The instructor provided helpful prompts, instructions, or guidance for writing essays.",1,"instructor, did, gender, learning, number",Topic: Instructor Did Gender
23,1,The overall quality of this course is,2,"quality, overall, course, clerkship, weather",Topic: Quality Overall Course
55,2, The overall quality of this course is,2,"quality, overall, course, clerkship, weather",Topic: Quality Overall Course
588,24,The overall quality of this course is:,2,"quality, overall, course, clerkship, weather",Topic: Quality Overall Course
1246,713,The overall quality of this clerkship is,2,"quality, overall, course, clerkship, weather",Topic: Quality Overall Course
1282,716,The overall quality of this (clerkship) course is,2,"quality, overall, course, clerkship, weather",Topic: Quality Overall Course
29,1,This instructor's availability for individual assistance is,3,"individual, availability, assistance, instructor, instructors",Topic: Individual Availability Assistance
60,2, This instructor's availability for individual assistance is,3,"individual, availability, assistance, instructor, instructors",Topic: Individual Availability Assistance
174,5,This instructor’s availability for individual assistance is,3,"individual, availability, assistance, instructor, instructors",Topic: Individual Availability Assistance
431,16,This instructors availability for individual assistance is,3,"individual, availability, assistance, instructor, instructors",Topic: Individual Availability Assistance
586,24,The instructor's availability for individual assistance is:,3,"individual, availability, assistance, instructor, instructors",Topic: Individual Availability Assistance
1217,712,LIC Directors’ availability for individual assistance is,3,"individual, availability, assistance, instructor, instructors",Topic: Individual Availability Assistance
1631,992,The instructor was available for individual assistance.,3,"individual, availability, assistance, instructor, instructors",Topic: Individual Availability Assistance
798,70,"In-class course materials, assignments, and activities helped facilitate my learning.",4,"materials, assignments, learning, activities, helped",Topic: Materials Assignments Learning
800,70,"Out-of-class supplemental course materials, assignments, activities, and resources helped facilitate my learning.",4,"materials, assignments, learning, activities, helped",Topic: Materials Assignments Learning
1329,718,The course materials and assignments facilitated my learning.,4,"materials, assignments, learning, activities, helped",Topic: Materials Assignments Learning
1099,706,Are you aware that the University of Houston College of Medicine has policies regarding the mistreatment of medical students?,5,"medicine, mistreatment, college, houston, university",Topic: Medicine Mistreatment College
1100,706,Do you know the procedures at the University of Houston College of Medicine for reporting the mistreatment of medical students?,5,"medicine, mistreatment, college, houston, university",Topic: Medicine Mistreatment College
3,1,Grading practices for this course were clear,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
4,1,Grading practices for this course were consistently followed,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
45,2, The grading system seemed fair,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
80,3, The grading procedures for the course were fair,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
86,3, The instructor was fair to students,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
186,6,The grading procedures for the course were fair.,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
192,6,The instructor was fair to students.,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
235,8,The grading practices were clear.,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
236,8,The grading practices were consistently followed.,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
237,8,The grading was fair.,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
271,9,"The grading practices were clear, consistently followed and fair.",6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
334,12,Fairness of grading,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
410,15,Grading standards were clear and consistent.,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
557,22,The examinations were a fair test of the material covered.,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
574,23,Grading criteria for this course was clear,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
642,35,The grading policies were clear.,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
742,46,Examinations were a fair and accurate representation of material assigned.,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
743,46,"Grading seems fair, accurate and consistent.",6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
761,52,The grading system seemed fair.,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
969,521,The grading system seemed fair,6,"grading, fair, clear, practices, accurate",Topic: Grading Fair Clear
310,11,Foundation module assignments were clear and explicit.,7,"foundation, content, relevance, future, emphasized",Topic: Foundation Content Relevance
312,11,Foundation module content addressed issues of diversity.,7,"foundation, content, relevance, future, emphasized",Topic: Foundation Content Relevance
314,11,Texts and materials in this foundation module were useful.,7,"foundation, content, relevance, future, emphasized",Topic: Foundation Content Relevance
315,11,The content of this foundation module supported the College's mission of advancing social and economic justice.,7,"foundation, content, relevance, future, emphasized",Topic: Foundation Content Relevance
321,11,The overall quality of this foundation module is,7,"foundation, content, relevance, future, emphasized",Topic: Foundation Content Relevance
323,11,This foundation module was academically challenging.,7,"foundation, content, relevance, future, emphasized",Topic: Foundation Content Relevance
324,11,This foundation module will contribute to my development as a social work professional.,7,"foundation, content, relevance, future, emphasized",Topic: Foundation Content Relevance
329,11,What do you suggest to improve this content module?,7,"foundation, content, relevance, future, emphasized",Topic: Foundation Content Relevance
1328,718,The course instructors emphasized the relevance of the course content as a foundation for future learning.,7,"foundation, content, relevance, future, emphasized",Topic: Foundation Content Relevance
1478,724,The interprofessional team leaders emphasized the relevance of the course content as a foundation for future learning.,7,"foundation, content, relevance, future, emphasized",Topic: Foundation Content Relevance
16,1,The instructor or the TA encouraged critical thinking,8,"encouraged, participation, instructor, questions, thinking",Topic: Encouraged Participation Instructor
17,1,The instructor or the TA encouraged student participation,8,"encouraged, participation, instructor, questions, thinking",Topic: Encouraged Participation Instructor
149,5,The assignments in this course encouraged the development and analysis of concepts and ideas.,8,"encouraged, participation, instructor, questions, thinking",Topic: Encouraged Participation Instructor
150,5,"The instructor (studio, lecture course, or seminar) facilitated and encouraged independent thinking.",8,"encouraged, participation, instructor, questions, thinking",Topic: Encouraged Participation Instructor
153,5,The instructor encouraged my self-evaluation and improvement.,8,"encouraged, participation, instructor, questions, thinking",Topic: Encouraged Participation Instructor
154,5,The instructor encouraged participation in class.,8,"encouraged, participation, instructor, questions, thinking",Topic: Encouraged Participation Instructor
215,7,"The instructor encouraged interaction with the class, listened to and responded to questions from the students.",8,"encouraged, participation, instructor, questions, thinking",Topic: Encouraged Participation Instructor
272,9,The instructor encouraged critical thinking and evaluation of ideas and evidence.,8,"encouraged, participation, instructor, questions, thinking",Topic: Encouraged Participation Instructor
273,9,"The instructor encouraged student participation, questions, and discussion as the class size allowed.",8,"encouraged, participation, instructor, questions, thinking",Topic: Encouraged Participation Instructor
553,22,"Instructor encourages student participation, welcomes questions and discussions.",8,"encouraged, participation, instructor, questions, thinking",Topic: Encouraged Participation Instructor
754,47,The instructor was concerned with the students’ ability to understand the material and encouraged,8,"encouraged, participation, instructor, questions, thinking",Topic: Encouraged Participation Instructor
809,70,The instructor encouraged student participation and questions in class.,8,"encouraged, participation, instructor, questions, thinking",Topic: Encouraged Participation Instructor
820,105,The instructor encouraged self-evaluation and continual improvement.,8,"encouraged, participation, instructor, questions, thinking",Topic: Encouraged Participation Instructor
821,105,The instructor facilitated and encouraged critical thinking.,8,"encouraged, participation, instructor, questions, thinking",Topic: Encouraged Participation Instructor
905,207,"The instructors/speakers encouraged interaction with the class, listened to and responded to questions from the students.",8,"encouraged, participation, instructor, questions, thinking",Topic: Encouraged Participation Instructor
1622,992,The instructor demonstrated and encouraged respect for a diversity of viewpoints.,8,"encouraged, participation, instructor, questions, thinking",Topic: Encouraged Participation Instructor
1625,992,"The instructor encouraged student participation, questions, and discussion.",8,"encouraged, participation, instructor, questions, thinking",Topic: Encouraged Participation Instructor
802,70,Please list suggestions for other ways to help facilitate student learning in this course. ,9,"help, suggestions, ways, facilitate, list",Topic: Help Suggestions Ways
1159,709,Please list suggestions for other ways to help facilitate student learning in this clerkship.,9,"help, suggestions, ways, facilitate, list",Topic: Help Suggestions Ways
1219,712,Please list suggestions for other ways to help facilitate student learning in LIC (as a whole).,9,"help, suggestions, ways, facilitate, list",Topic: Help Suggestions Ways
1253,714,Please list suggestions on how this faculty member could help facilitate student learning.,9,"help, suggestions, ways, facilitate, list",Topic: Help Suggestions Ways
1323,718,Please list suggestions for other ways to help facilitate student learning in this course.,9,"help, suggestions, ways, facilitate, list",Topic: Help Suggestions Ways
5,1,I connected to this course MOST frequently from,10,"course, liked, did, improve, taught",Topic: Course Liked Did
6,1,I had the prerequisite skills to be successful in this course,10,"course, liked, did, improve, taught",Topic: Course Liked Did
8,1,I was able to download the course material when required,10,"course, liked, did, improve, taught",Topic: Course Liked Did
28,1,This course was taught by:,10,"course, liked, did, improve, taught",Topic: Course Liked Did
37,2, I connected to this course MOST frequently from,10,"course, liked, did, improve, taught",Topic: Course Liked Did
39,2, I was able to download the course material when required,10,"course, liked, did, improve, taught",Topic: Course Liked Did
59,2, This course was taught by:,10,"course, liked, did, improve, taught",Topic: Course Liked Did
