FormNumber,Question
2, The overall teaching effectiveness of this instructor is
2, The procedures for providing feedback information were such that I knew how I was progressing in the course
2, This course material was well suited for online delivery
2, This course was taught by:
2, This instructor's availability for individual assistance is
2, This instructor's demonstration of respect for students is
2, Video used in this course was effective in learning the course material
2," When I was connecting from off campus, the typical connection was"
2," When I was connecting on campus, I was typically connected at the"
3, Additional Comments
3, Audio used in this course was effective in learning the course material
3, Comments
3, I connected to this course MOST frequently from
3, I have become more cometent in this area due to this course
3, I have learned a great deal in this course
3, I have taken an online course before
3, I was able to download the course material when required
3," If asked by a peer, I would recommend taking this course online"
3, Images used in this course made learning the course material easier
3," In this course, I expect to receive a grade of"
3, My current classification is:
3, My work was evaluated in a constructive manner
3," Overall, the instructor was an effective teacher"
3, The course material was delivered by: Choose all that apply
3, The grading procedures for the course were fair
3, The instructor evaluated my work in a meaningful and conscientious manner
3, The instructor gave assignments that were useful for learning the subject matter
3, The instructor promoted an atmosphere conductive to work and learning
3, The instructor seemed well prepared for classes
3, The instructor was accessible for student conferences about this course
3, The instructor was fair to students
3, The instructor was knowledgeable about the subject matter
3, The instructor was sensitive to student needs
3, The instructor's ability to explain was excellent
3, The online course delivery method was condusive to learning the material
3, The online course was easy to navigate
3, The overall quality of this course is
3, The overall quality of this course was exceptionally high
3, The overall teaching effectiveness of this instructor is
3, The progression of this course was logical and coherent from beginning to end
3, This course improved my understanding of concepts and principles in this field
3, This course material was well suited for online delivery
3, This course was taught by:
3, This instructor's availability for individual assistance is
3, This instructor's demonstration of respect for students is
3, Video used in this course was effective in learning the course material
3," When I was connecting from off campus, the typical connection was"
3," When I was connecting on campus, I was typically connected at the"
3," When registering for this course, my opinion about the course was positive"
3," When registering for this course, my opinion about the instructor was positive"
4, Additional Comments
4, Audio used in this course was effective in learning the course material
4, Comments
4, Course assignments were clear and explicit
4, Course assignments were useful for learning the subject matter
4, Course content addressed issues of diversity
4, I connected to this course MOST frequently from
4, I have taken an online course before
4, I was able to download the course material when required
4," If asked by a peer, I would recommend taking this course online"
4, Images used in this course made learning the course material easier
4, My current classification is:
4, Texts and material in this course were useful
4," The content of this course supported the School's mission of advancing social, political,and economic justice"
4, The course material was delivered by: Choose all that apply
4, The instructor graded rigorously
4, The instructor presented material in an understandable way
4, The instructor was available to help students outside of class
4, The instructor was effective in helping me think critically about the subject matter
4, The instructor was open to alternate points of view of the subject matter
4, The instructor was well prepared
4, The online course delivery method was condusive to learning the material
4, The online course was easy to navigate
4, The overall quality of this course is
4, The overall teaching effectiveness of this instructor is
4, This course material was well suited for online delivery
4, This course was academically challenging
4, This course was taught by:
4, This course will contribute to my development as a social work professional
4, This instructor's availability for individual assistance is
4, This instructor's demonstration of respect for students is
4, Video used in this course was effective in learning the course material
4," When I was connecting from off campus, the typical connection was"
4," When I was connecting on campus, I was typically connected at the"
5,Class time was organized and used effectively to facilitate learning.
5,How many credit hours did you complete this semester?
5,I feel this class was important and valuable to my education.
5,I had a good sense of what is expected of me by the instructor in this class.
5,"In this course, I expect to receive a grade of:"
5,My overall grade point average is:
5,"On average, how many hours per week did you typically spend in working at a paying job this semester?"
5,"On average, how many hours per week did you typically spend on work for this course beyond its regularly scheduled class meetings?"
5,Other comments/suggestions:
5,The assignments in this course encouraged the development and analysis of concepts and ideas.
5,"The instructor (studio, lecture course, or seminar) facilitated and encouraged independent thinking."
5,The instructor actively helped students plan and manage their workload in this course.
5,"The instructor did a satisfactory job to explain expectations for the type of learning environment I was in (studio, lecture course, or seminar)."
5,The instructor encouraged my self-evaluation and improvement.
5,The instructor encouraged participation in class.
5,The instructor encouraged questions and student interpretation of subject matter.
5,"The instructor evaluated exams, quizzes, papers or creative activities in a timely manner."
5,"The instructor exposed me to diverse research methods (studio, lecture course, or seminar) that allowed me to understand issues from different perspectives."
5,The instructor fostered a good environment for learning and exploration.
5,The instructor is an effective teacher.
5,The instructor presented course material in a clear and understandable manner.
5,The instructor seemed well informed and up-to-date on course material and subject matter.
5,The instructor stimulated critical and/or creative thinking.
5,The instructor used academic sources and knowledge effectively to reinforce subject matter in course.
5,The instructor used critiques effectively to evaluate my work.
5,The instructor used professional experiences and knowledge effectively to reinforce subject matter presented in course.
5,"The instructor was available outside of class during posted office hours, online or by appointment."
5,The instructor was fair and objective in evaluating my work.
5,The overall quality of this course is
5,The overall teaching effectiveness of this instructor is
5,The projects and assignments in this course provided valuable learning experiences.
5,The projects and assignments in this course were interesting and stimulating.
5,"The tests, projects and papers required in this course are a good measure of my performance and knowledge of the course material."
5,"The texts, references and other readings used in this course were appropriate and useful."
5,This instructor’s availability for individual assistance is
5,This instructor’s demonstration of respect for students is
5,What are the overall aspects of this learning experience that you think you will remember and value most from this course?
5,What suggestions would you make to improve your educational experience in relation to the university community and the College of Architecture?
5,"What suggestions would you make to improve your educational experience in this studio, lecture course, or seminar?"
6,I have become more competent in this area due to this course.
6,I have learned a great deal in this course.
6,"In this course, I expect to receive a grade of:"
6,My work was evaluated in a constructive manner.
6,"Overall, the instructor was an effective teacher."
6,Please use the space below for your comments on the instructor.
6,Sex
6,The grading procedures for the course were fair.
6,The instructor evaluated my work in a meaningful and conscientious manner.
6,The instructor gave assignments that were useful for learning the subject matter.
6,The instructor promoted an atmosphere conducive to work and learning.
6,The instructor seemed well prepared for classes.
6,The instructor was accessible for student conferences about the course.
6,The instructor was fair to students.
6,The instructor was knowledgeable about the subject matter.
6,The instructor was sensitive to student needs.
6,The instructor's ability to explain was excellent.
6,The overall quality of this course is
6,The overall quality of this course was exceptionally high.
6,The overall teaching effectiveness of this instructor is 
6,The progression of this course was logical and coherent from beginning to end.
6,This course improved my understanding of concepts and principles in this field.
6,This course was...
6,This instructor’s availability for individual assistance is
6,This instructor’s demonstration of respect for students is
6,"When registering for this course, my opinion about the course was positive."
6,"When registering for this course, my opinion about the instructor was positive."
6,Your major department is...
7,"Based on what I have seen in this class, I believe this instructor is an effective educator."
7,Course Comments | Comments on how the course met its stated objectives
7,Final grade you expect to receive in this course is:
7,I am interested in the course subject.
7,Instructor Comments | Comments related to the effectiveness of the instructor
7,The amount of material covered was appropriate for the allotted time.
7,The expected course outcomes were presented clearly during the course of the semester.
7,The facilities adequately met course needs.
7,"The instructor encouraged interaction with the class, listened to and responded to questions from the students."
7,The instructor presents material clearly and effectively.
7,The material presented fit well with the course outcomes.
7,The overall quality of this course is
7,The overall teaching effectiveness of this instructor is
7,The prerequisite courses prepared me for the material in this course.
7,The teaching assistant was available and helpful to the students.
7,This instructor’s availability for individual assistance is
7,This instructor’s demonstration of respect for students is
7,What is your cumulative G.P.A.?
8,Final Grade I expect to receive in this course is:
8,"Given a choice, I would take another course from this instructor."
8,I was provided feedback throughout the laboratory on my performance and/or understanding.
8,I was provided with the proper working equipment and utensils.
8,Is this a course an elective?
8,Is this a course in your major?
8,My cumulative GPA is:
8,Number of classes missed
8,"Please include your comments about the class discussions, readings, papers or projects, examinations or teaching style"
8,The expectations for work in this course were clearly stated.
8,The grading practices were clear.
8,The grading practices were consistently followed.
8,The grading was fair.
8,The instructor outlined objective for each class.
8,The instructor presented the labs in an organized format.
8,The instructor presented the material in a clear and understandable way.
8,"The instructor used instructional support materials (overheads, computer assisted presentation, videos, handouts, internet, board, etc.) to assist in the learning process."
8,The instructor was an effective teacher.
8,The instructor was available for consultation.
8,The instructor was interested in student’s progress.
8,The instructor was well prepared for regular class meetings. 
8,The instructor was well prepared for the lab.
8,The lab is equipped with the necessary tools for me to accomplish the learning objectives.
8,The lab manual and/or handouts helped to provide guidance in completing the assigned task.
8,The laboratory enriched my understanding of the subject matter.
8,The overall quality of this course is
8,The overall teaching effectiveness of this instructor is
8,The pace of this course was comfortable.
8,"The teacher effectively used interactive teaching methods (discussions, games and simulations, per-teaching, field trips, student presentations, etc.)  to involve the class."
8,The teaching assistant was available for assistance to students.
8,The teaching assistant was receptive to questions.
8,The textbook/course packets were used effectively in this course.
8,This course contributed to my professional development.
8,This instructor’s availability for individual assistance is
8,This instructor’s demonstration of respect for students is
8,What is your classification?
9,Classification:
9,"Compared to other courses at the same level, the amount of work I did was:"
9,How could the instructor improve the course?
9,How often did the instructor come more than ten minutes late?
9,How often did the instructor either cancel or not show up to teach?
9,How often did you miss class?
9,In what range does your current GPA fall?
9,My major is in:
9,Reason I enrolled in this course:
9,"Tests, examinations, projects, papers, or creative activities reflected materials emphasized in the course."
9,"The grading practices were clear, consistently followed and fair."
9,The instructor encouraged critical thinking and evaluation of ideas and evidence.
9,"The instructor encouraged student participation, questions, and discussion as the class size allowed."
9,"The instructor evaluated exams, quizzes, papers or creative activities in a timely manner."
9,"The instructor presented the course in a clear, logical and organized manner."
9,The instructor provided a syllabus and reviewed course expectations at the beginning of the semester.
9,The instructor was well prepared for class.
9,The overall quality of this course is
9,The overall teaching effectiveness of this instructor is
9,The teaching assistant was available for assistance to students.
9,The teaching assistant was receptive to questions.
9,This instructor’s availability for individual assistance is
9,This instructor’s demonstration of respect for students is
9,What other comments and suggestions would you like to make about the instructor or the course?
9,"What, specifically, were the strengths of the class?"
9,Would you recommend this instructor to other students? Why?
10,Course assignments were clear and explicit.
10,Course assignments were useful for learning the subject matter.
10,Course content addressed issues of diversity.
10,How could the instructor improve as a teacher?
10,Texts and materials in this course were useful.
10,"The content of this course supported the School`s mission of advancing social, political and economic justice. <br>(For <b>DOCTORAL STUDENTS</b>: This course helped me better understand how my future work (career goals) may advance social, political and/o"
10,The instructor graded rigorously.
10,The instructor presented material in an understandable way.
10,The instructor was available to help students outside of class.
10,The instructor was effective in helping me think critically about the subject matter.
10,The instructor was open to alternate points of view of the subject matter.
10,The instructor was well prepared.
10,The overall quality of this course is
10,The overall teaching effectiveness of this instructor is
10,This course was academically challenging.
10,This course was:
10,"This course will contribute to my development as a social work professional.<br> (For <b>DOCTORAL STUDENTS</b>: This course content will contribute to my development as a doctoral professional (e.g., researcher, faculty member, agency administrator)."
10,This instructor’s availability for individual assistance is
10,This instructor’s demonstration of respect for students is
10,What are the major strengths of the instructor?
10,What did you like best about this course?
10,What do you suggest to improve this course?
11,Cohort:
11,Foundation module assignments were clear and explicit.
11,Foundation module assignments were useful for learning the subject matter.
11,Foundation module content addressed issues of diversity.
11,How could the instructor improve as a teacher?
11,Texts and materials in this foundation module were useful.
11,The content of this foundation module supported the College's mission of advancing social and economic justice.
11,The instructor graded fairly.
11,The instructor presented material in an understandable way.
11,The instructor was effective in helping me think critically about the subject matter.
11,The instructor was open to alternate points of view of the subject matter.
11,The instructor was prepared.
11,The overall quality of this foundation module is
11,The overall teaching effectiveness of this instructor is
11,This foundation module was academically challenging.
11,This foundation module will contribute to my development as a social work professional.
11,This instructor’s availability for individual assistance is
11,This instructor’s demonstration of respect for students is
11,What are the major strengths of the instructor?
11,What did you like best about this content module?
11,What do you suggest to improve this content module?
12,Classification
12,Contribution to my professional growth and development
12,Course Delivery
12,Expected Course Grade
12,Fairness of grading
12,Gender
12,I had a desire to take this course
12,Instructional effectiveness
12,Instructor organization
12,Instructor presentation of material
12,Intructor response to student questions
12,Level to which this course met my learning expectations
12,Other comments
12,Overall GPA
12,Quality of text books
12,Student Major (Graduate)
12,Student Major (Undergraduate)
12,The instructor remained in the room while I filled out this evaluation.
12,The overall quality of this course is
12,The overall teaching effectiveness of this instructor is
12,This course meets my requirements for:
12,This instructor's availability for individual assistance is
12,This instructor's demonstration of respect for students is
12,What have you liked least about the course?
12,What have you liked most about the course?
13,College of your major is:
13,Contribution to my professional growth and development
13,Coordination of assigned readings to lecture material
13,Fairness of grading
13,Final Grade I expect to receive in this course is:
13,Gender:
13,Instructional effectiveness
13,Instructor organization
13,Instructor presentation of material
13,Instructor response to student questions
13,Level to which this course met my learning expectations
13,My classification is:
13,My cumulative GPA is:
13,Number of classes missed:
13,Other comments and suggestions
13,Quality of class discussions
13,Quality of text books
13,The overall quality of this course is
13,The overall teaching effectiveness of this instructor is
13,This course was:
13,This instructor’s availability for individual assistance is
13,This instructor’s demonstration of respect for students is
13,What have you liked least about this course and why?
13,What have you liked most about this course and why?
14,"Additional materials for this class (handouts, readings, web information) were helpful"
14,Course assignments usually were returned to students within:
14,Exam results usually were returned to students within:
14,Exams and assignments were returned in a timely manner.
14,Exams reflected materials covered in lectures and/or course assignments.
14,Expectations for course assignments and/or exams were clearly presented.
14,I was evaluated on the basis of (mark all that apply):
14,I would rate the difficulty level of this course as:
14,Lectures and assignments stimulated my thinking about the subject.
14,My approximate overall GPA is:
14,My class level is:
14,Please use the space below for your comments on the instructor.
14,The average number of hours per week that I spent studying for this class was:
14,The grade that I expect to receive in this course is:
14,The instructor presented the course material in a clear and organized manner.
14,The instructor remained in the room while you filled out this evaluation.
14,The instructor was concerned about whether students understood the material.
14,The instructor was enthusiastic about the course material.
14,The instructor was prepared for class.
14,The instructor was receptive to students' questions.
14,The number of classes I missed was:
14,The number of times that the instructor cancelled class or did not show up to teach was:
14,The number of times that the instructor was more than 10 minutes late to class was:
14,The overall quality of this course is
14,The overall teaching effectiveness of this instructor is
14,The text(s) used in this course was helpful
14,This course included:
14,This instructor’s availability for individual assistance is
14,This instructor’s demonstration of respect for students is
15,Experiments illustrated key concepts.
15,Experiments worked
15,Grading standards were clear and consistent.
15,I read the lab manual <i>before</i> coming to the lab
15,Laboratory techniques were adequately illustrated.
15,Please use the space below for your comments on the instructor and/or course.
15,"The expectations of this class (in terms of lab reports, time spent outside of class and difficulty of experiments) were:"
15,The instructor circulated among the students.
15,"The instructor required that students follow safety procedures (goggles, aprons, etc)."
15,The instructor spoke in clearly understandable English.
15,The instructor was receptive to questions.
15,The instructor's presentations clearly defined relevant goals and concepts.
15,The lab manual was appropriate in terms of organization and content.
15,The laboratory was adequately prepared for performing the experiments
15,The number of times that the instructor was more than 10 minutes late to class was:
15,The overall quality of this course is
15,The overall teaching effectiveness of this instructor is
15,This instructor’s availability for individual assistance is
15,This instructor’s demonstration of respect for students is
16,Please use the space below for your comments on the instructor.
16,The overall quality of this course is
16,The overall teaching effectiveness of this instructor is
16,This Course is...
16,This instructors availability for individual assistance is
16,This instructors demonstration of respect for students is
17,Graded assignments were returned in a timely manner.
17,Lab reports were graded in such a way that it was easy for the student to see his/her mistakes.
17,"Overall, the instructor was an effective teacher."
17,Please use the space below for your comments on the instructor.
17,The grading of exams and lab reports was done fairly.
17,"The instructor circulated among the students, calling attention to incorrect practices."
17,"The instructor required that students follow lab safety procedures, including the appropriate use of goggles, gloves, and lab coats."
17,The instructor was accessible and provided sufficient aid and/or clarification when needed.
17,"The instructor was knowledgeable about the experiments, including laboratory techniques and the theories behind the experiments."
17,The instructor was prepared for class.
17,The instructor's lectures and other verbal presentations were logically developed.
17,The overall quality of this course is
17,The overall teaching effectiveness of this instructor is
17,This Course is...
17,This instructors availability for individual assistance is
17,This instructors demonstration of respect for students is
18,Classification:
18,Did you feel that the instructional support by the teaching assistants was adequate in this course?
18,Exams and quizzes emphasized thorough understanding of the course material.
18,Exams and quizzes were fair.
18,"Exams, quizzes, assignments, and projects supported the course objectives."
18,"Exams, quizzes, assignments, and projects were graded and returned in a timely manner."
18,How did the workload in this course compare with other science and engineering courses at the University of Houston?
18,How difficult did you find this course in comparison to other science and engineering courses at the University of Houston?
18,"If this course had a significant experimental component, what was your impression of the computing equipment and software provided to support the course?"
18,The instructor demonstrated the ability to communicate with students in the classroom.
18,The instructor employed information technology effectively to disseminate and enrich the course material.
18,The instructor inspired confidence through his/her knowledge of the subject.
18,The instructor is well organized.
18,The instructor presented the course in a clear and logical manner.
18,The instructor showed interest and enthusiasm for the course.
18,The instructor was punctual for the class.
18,The overall quality of this course is
18,The overall teaching effectiveness of this instructor is
18,The reason you enrolled in this course was?
18,This instructor’s availability for individual assistance is
18,This instructor’s demonstration of respect for all students is
18,"Was the textbook (and/or course material, as applicable) well written and supportive of objectives of the course?"
18,Was this course interesting and exciting?
18,What grade do you expect in this course?
18,What is your estimate of the number of classes that were cancelled?
18,What is your estimate of the number of occurrences of academic dishonesty by the students in the class?
18,"You may state what the instructor did particularly well, what the instructor should do to improve, or how the course met or did not meet your expectations, or you may expand on your responses to the other items in this form. Comments about teaching assist"
18,Your major:
19,"Did you take one of the field trips? If so, was it worth it and why? If not, why did you choose not to go? Any suggestions to improve the field trips?"
19,How could the course content or structure be improved?
19,How could the exams (and/or assignments) be improved?
19,How could the instructor’s teaching or presentation be improved?
19,How many guest lectures were given in your class?
19,How many times was your class canceled (other than for bad weather)?
19,I am more interested in the subject now than when I started the course.
19,I found the outside assignments (if any) very useful.
19,I found the reading assignments (textbook and others) very useful.
19,I found the visiting the Geoscience Learning Center to be helpful
19,I would recommend this course to a fellow student.
19,I would recommend this instructor to a fellow student.
19,Other comments/suggestions?
19,"Over a semester, how many hours did you visit the Geoscience Learning Center?"
19,The course procedures and expectations were clearly communicated.
19,The course was harder than I thought it would be when I entered the course.
19,The exams (and assignments if any) were returned promptly.
19,The exams were representative of the material covered by the instructor and the reading assignments.
19,The instructor is accessible to students during office hours outside of class.
19,The instructor is an effective teacher.
19,The instructor is willing to answer questions or clarify concepts during class.
19,The instructor made the subject intellectually stimulating.
19,The lectures were clearly presented.
19,The lectures were well organized.
19,The overall quality of this course is
19,The overall teaching effectiveness of this instructor is
19,This instructor’s availability for individual assistance is
19,This instructor’s demonstration of respect for students is
19,What did you like most about the instructor?
19,What was the best part(s) of the course? (e.g.  that you enjoyed the most or got the most out of)
20,Additional Comments
20,The course procedures and expectations were clearly communicated.
20,The exams and assignments were fairly graded.
20,The exams and assignments were returned promptly.
20,The instructor has a good command of the subject.
20,The instructor is an effective teacher.
20,The instructor is willing to help students outside of class time.
20,The instructor made the subject intellectually stimulating.
20,The instructor met the class regularly.
20,The lectures were clearly presented.
20,The lectures were well organized.
20,The overall quality of this course is
20,The overall teaching effectiveness of this instructor is
20,This instructor’s availability for individual assistance is
20,This instructor’s demonstration of respect for students is
21,Additional Comments
21,Exams (and assignments if any) were returned promptly.
21,Exams were representative of the material covered by the instructor and the reading assignments.
21,How many times was your class canceled (other than for bad weather)?
21,I am more interested in the subject now than when I started the course.
21,I found the outside assignments (if any) very useful.
21,I found the reading assignments (textbook and others) very useful.
21,I found the visiting the Geoscience Learning Center to be helpful.
21,I would recommend this course to a fellow student.
21,I would recommend this instructor to a fellow student.
21,"Over a semester, how many hours did you visit the Geoscience Learning Center?"
21,The assistant is accessible to students during office hours outside of the class.
21,The assistant is an effective instructor.
21,The assistant is willing to answer questions or clarify concepts during class.
21,The assistant was present during class.
21,The course procedures and expectations were clearly communicated.
21,The course was harder than I thought it would be when I entered the course.
21,The course was well organized.
21,The instructor is accessible to students during office hours outside of class.
21,The instructor is an effective teacher.
21,The instructor is willing to answer questions or clarify concepts during class.
21,The instructor made the subject intellectually stimulating.
21,The overall quality of this course is
21,The overall teaching effectiveness of this instructor is
21,This instructor’s availability for individual assistance is
21,This instructor’s demonstration of respect for students is
22,I could understand the instructor.
22,"I learned fundamental principles, and how to apply those principles."
22,I was interested in taking this course.
22,I would like to take another physics course.
22,"If I take another course in physics, I would want to take it from this instructor."
22,"Instructor encourages student participation, welcomes questions and discussions."
22,Please use the space below for your comments on the instructor.
22,The assigned book was very helpful.
22,The course was well organized.
22,The examinations were a fair test of the material covered.
22,The grading was clearly defined from the beginning of the course.
22,The importance of the subject was emphasized. The goals were made clear.
22,The instructor changed approaches to meet new situations.
22,The instructor presents the material in a clear and understandable way.
22,The instructor was knowledgeable in the material presented in the course.
22,The instructor was prepared for class.
22,The overall quality of this course is
22,The overall teaching effectiveness of this instructor is
22,The work in the course was more than required for my other courses.
22,There was relatively little cheating on the examinations.
22,This Course is...
22,This form allowed me to effectively evaluate both the instructor and the course.
22,This instructors availability for individual assistance is
22,This instructors demonstration of respect for students is
23,Additional Comments
23,Course Objectives were clearly indicated in the syllabus or somewhere online
23,Grading criteria for this course was clear
23,Technical assistance was available when I needed it
23,The instructor or TA provided timely feedback and was available to discuss my progress
23,The quizzes/tests and/or assignments were related to the lectures and course material
23,The technology used to deliver this course was helpful [beneficial] to learning the material
24,I would recommend this course to other students.
24,Please use the space below for your comments on the course and/or the instructor. Your comments will be given to the instructor only after grades have been assigned.
24,"Relative to other Law courses, I have learned substantially more in this course."
24,The approach in this class stressed:
24,"The instructor cancelled, missed, or rescheduled the following number of classes:"
24,The instructor was effective in communicating information.
24,The instructor was well prepared.
24,The instructor's availability for individual assistance is:
24,The instructor's demonstration of respect for all students is:
24,The overall quality of this course is:
24,The overall teaching effectiveness of the instructor is:
24,The reading and preparation required was extensive.
24,The subject matter of the course was difficult.
24,This course will make me a better lawyer.
33,Comments
33,Exams and quizzes reflected material covered in lectures and assignments.
33,How did the workload in this course compare with other STEM courses at the University of Houston?
33,How difficult did you find this course in comparison to other STEM courses at the University of Houston?
33,"The course syllabus, policies and expectations were clearly communicated and followed."
33,The instructor demonstrated the ability to communicate with students in the classroom.
33,The instructor presented the course material in a clear and logical manner.
33,The instructor was well prepared and well organized.
33,The overall quality of this course is
33,The overall teaching effectiveness of this instructor is
33,This instructor’s availability for individual assistance is
33,This instructor’s demonstration of respect for all students is
33,"Was the textbook (and/or course material, as applicable) well written and supportive of objectives of the course?"
33,Was this course interesting and exciting?
33,What grade do you expect in this course?
33,What is your cumulative G.P.A.?
33,Why did you take this course?
34,Additional Comments
34,Comments
34,Course Objectives were clearly indicated in the syllabus or somewhere online
34,Exams and quizzes reflected material covered in lectures and assignments.
34,Grading criteria for this course was clear
34,How did the workload in this course compare with other STEM courses at the University of Houston?
34,How difficult did you find this course in comparison to other STEM courses at the University of Houston?
34,Technical assistance was available when I needed it
34,"The course syllabus, policies and expectations were clearly communicated and followed."
34,The instructor demonstrated the ability to communicate with students in the classroom.
34,The instructor or TA provided timely feedback and was available to discuss my progress
34,The instructor presented the course material in a clear and logical manner.
34,The instructor was well prepared and well organized.
34,The overall quality of this course is
34,The overall teaching effectiveness of this instructor is
34,The quizzes/tests and/or assignments were related to the lectures and course material
34,The technology used to deliver this course was helpful [beneficial] to learning the material
34,This instructor’s availability for individual assistance is
34,This instructor’s demonstration of respect for all students is
34,"Was the textbook (and/or course material, as applicable) well written and supportive of objectives of the course?"
34,Was this course interesting and exciting?
34,What grade do you expect in this course?
34,What is your cumulative G.P.A.?
34,Why did you take this course?
35,Additional Comments for instructor
35,Additional Comments Regarding Clinical Experience
35,Additional Comments Regarding the Course
35,My professional growth was enhanced by this course.
35,The clinical experience provided me with opportunities to develop clinical reasoning.
35,The clinical experience provided me with opportunities to develop the systematic plan of care for the assigned patient/population.
35,The clinical experience provided opportunities to collaborate with the healthcare team.
35,The course activities helped me meet course objectives.
35,The grading policies were clear.
35,The instructor clearly communicated course expectations.
35,The instructor evaluated my performance as published in the syllabus.
35,The instructor organized the course to facilitate learning.
35,The instructor presented the content of the course clearly.
35,The instructor responded to me in a timely manner.
35,The instructor's overall performance in this course was excellent.
35,The overall quality of this course is
35,The overall teaching effectiveness of this instructor is
35,The reading assignments helped me meet the course objectives.
35,The required course materials helped me meet course objectives.
35,The total clinical experience was sufficient.
35,There was adequate instructor support to facilitate skill acquisition.
35,This instructor’s availability for individual assistance is
35,This instructor’s demonstration of respect for all students is
35,Time spent in the Simulated Learning Lab helped me to achieve my learning goals.
43,A professional student-teacher relationship is maintained during the lesson.
43,Classification:
43,"Compared to other courses at the same level, the amount of work I did was:"
43,How could the instructor improve the course?
43,How often did the instructor come more than ten minutes late?
43,How often did the instructor either cancel or not show up to teach?
43,How often did you miss class?
43,I covered an adequate breadth of repertoire during the semester.
43,I feel the instructor is preparing me well for my jury.
43,I received helpful instruction on problems and was presented remedies.
43,In what range does your current GPA fall?
43,My major is in:
43,Reason I enrolled in this course:
43,"Tests, examinations, projects, papers, or creative activities reflected materials emphasized in the course."
43,"The grading practices were clear, consistently followed and fair."
43,The instructor diagnoses technical problems and presents methods.
43,The instructor encouraged critical thinking and evaluation of ideas and evidence.
43,"The instructor encouraged student participation, questions, and discussion as the class size allowed."
43,"The instructor evaluated exams, quizzes, papers or creative activities in a timely manner."
43,The instructor helps me with my ensemble music as well as solo music.
43,"The instructor is knowledgeable about repertoire, style, and performance practice of various periods."
43,"The instructor presented the course in a clear, logical and organized manner."
43,The instructor presents helpful ideas for practice methods.
43,The instructor provided a syllabus and reviewed course expectations at the beginning of the semester.
43,The instructor provides sufficient examples by playing or singing when necessary.
43,The instructor seems to care about my progress.
43,The instructor uses lesson time efficiently.
43,The instructor was well prepared for class.
43,The lesson content is appropriate to my stated professional goals.
43,The overall quality of this course is
43,The overall teaching effectiveness of this instructor is
43,The repertoire is of high musical quality.
43,The teaching assistant was available for assistance to students.
43,The teaching assistant was receptive to questions.
43,This instructor’s availability for individual assistance is
43,This instructor’s demonstration of respect for students is
43,What other comments and suggestions would you like to make about the instructor or the course?
43,"What, specifically, were the strengths of the class?"
43,Would you recommend this instructor to other students? Why?
44,Classification:
44,"Compared to other courses at the same level, the amount of work I did was:"
44,How could the instructor improve the course?
44,How often did the instructor come more than ten minutes late?
44,How often did the instructor either cancel or not show up to teach?
44,How often did you miss class?
44,In what range does your current GPA fall?
44,My major is in:
44,Reason I enrolled in this course:
44,Reasonable demands are made on my time for extra rehearsals.
44,Rehearsals are conducted efficiently.
44,"Tests, examinations, projects, papers, or creative activities reflected materials emphasized in the course."
44,The conductor accurately identifies and rehearses problematic places in the music.
44,The conductor encourages critical thinking.
44,The conductor has good knowledge of the repertoire & of performance practice.
44,The conductor makes positive & helpful comments during rehearsal.
44,The conductor shows interest in the reputation of the organization as representing the Moores School of Music.
44,The conductor stresses musical concepts and not only rote learning of the music.
44,The conductor's technique is clear.
44,"The grading practices were clear, consistently followed and fair."
44,The instructor encouraged critical thinking and evaluation of ideas and evidence.
